Time,Pack Amperage (Current)
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.600000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.600000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:42 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.600000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:43 CST 2024,0.600000
Wed Oct 9 17:31:43 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:44 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.600000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.600000
Wed Oct 9 17:31:45 CST 2024,0.600000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:45 CST 2024,0.600000
Wed Oct 9 17:31:45 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.500000
Wed Oct 9 17:31:46 CST 2024,0.700000
Wed Oct 9 17:31:46 CST 2024,1.000000
Wed Oct 9 17:31:46 CST 2024,1.500000
Wed Oct 9 17:31:46 CST 2024,2.100000
Wed Oct 9 17:31:46 CST 2024,1.900000
Wed Oct 9 17:31:47 CST 2024,2.000000
Wed Oct 9 17:31:47 CST 2024,1.600000
Wed Oct 9 17:31:47 CST 2024,1.500000
Wed Oct 9 17:31:47 CST 2024,1.300000
Wed Oct 9 17:31:47 CST 2024,1.100000
Wed Oct 9 17:31:47 CST 2024,1.200000
Wed Oct 9 17:31:47 CST 2024,1.200000
Wed Oct 9 17:31:47 CST 2024,1.400000
Wed Oct 9 17:31:47 CST 2024,1.300000
Wed Oct 9 17:31:47 CST 2024,1.300000
Wed Oct 9 17:31:48 CST 2024,1.800000
Wed Oct 9 17:31:48 CST 2024,2.800000
Wed Oct 9 17:31:48 CST 2024,2.700000
Wed Oct 9 17:31:48 CST 2024,2.400000
Wed Oct 9 17:31:48 CST 2024,3.200000
Wed Oct 9 17:31:48 CST 2024,4.500000
Wed Oct 9 17:31:48 CST 2024,4.900000
Wed Oct 9 17:31:48 CST 2024,4.300000
Wed Oct 9 17:31:48 CST 2024,3.500000
Wed Oct 9 17:31:48 CST 2024,3.000000
Wed Oct 9 17:31:49 CST 2024,2.700000
Wed Oct 9 17:31:49 CST 2024,2.800000
Wed Oct 9 17:31:49 CST 2024,2.700000
Wed Oct 9 17:31:49 CST 2024,2.500000
Wed Oct 9 17:31:49 CST 2024,2.400000
Wed Oct 9 17:31:49 CST 2024,2.400000
Wed Oct 9 17:31:49 CST 2024,2.600000
Wed Oct 9 17:31:49 CST 2024,2.500000
Wed Oct 9 17:31:49 CST 2024,2.800000
Wed Oct 9 17:31:50 CST 2024,3.500000
Wed Oct 9 17:31:50 CST 2024,3.300000
Wed Oct 9 17:31:50 CST 2024,3.600000
Wed Oct 9 17:31:50 CST 2024,3.900000
Wed Oct 9 17:31:50 CST 2024,3.800000
Wed Oct 9 17:31:50 CST 2024,3.700000
Wed Oct 9 17:31:50 CST 2024,3.300000
Wed Oct 9 17:31:50 CST 2024,3.200000
Wed Oct 9 17:31:50 CST 2024,3.100000
Wed Oct 9 17:31:50 CST 2024,3.100000
Wed Oct 9 17:31:51 CST 2024,2.700000
Wed Oct 9 17:31:51 CST 2024,2.600000
Wed Oct 9 17:31:51 CST 2024,2.800000
Wed Oct 9 17:31:51 CST 2024,2.700000
Wed Oct 9 17:31:51 CST 2024,2.700000
Wed Oct 9 17:31:51 CST 2024,2.500000
Wed Oct 9 17:31:51 CST 2024,2.400000
Wed Oct 9 17:31:51 CST 2024,2.400000
Wed Oct 9 17:31:51 CST 2024,2.600000
Wed Oct 9 17:31:51 CST 2024,2.700000
Wed Oct 9 17:31:52 CST 2024,2.300000
Wed Oct 9 17:31:52 CST 2024,2.400000
Wed Oct 9 17:31:52 CST 2024,3.400000
Wed Oct 9 17:31:52 CST 2024,3.900000
Wed Oct 9 17:31:52 CST 2024,3.900000
Wed Oct 9 17:31:52 CST 2024,3.700000
Wed Oct 9 17:31:52 CST 2024,3.200000
Wed Oct 9 17:31:52 CST 2024,3.500000
Wed Oct 9 17:31:52 CST 2024,3.800000
Wed Oct 9 17:31:52 CST 2024,4.100000
Wed Oct 9 17:31:53 CST 2024,3.800000
Wed Oct 9 17:31:53 CST 2024,5.200000
Wed Oct 9 17:31:53 CST 2024,6.200000
Wed Oct 9 17:31:53 CST 2024,5.800000
Wed Oct 9 17:31:53 CST 2024,6.300000
Wed Oct 9 17:31:53 CST 2024,6.500000
Wed Oct 9 17:31:53 CST 2024,7.200000
Wed Oct 9 17:31:53 CST 2024,7.600000
Wed Oct 9 17:31:53 CST 2024,7.900000
Wed Oct 9 17:31:53 CST 2024,7.700000
Wed Oct 9 17:31:54 CST 2024,8.200000
Wed Oct 9 17:31:54 CST 2024,5.400000
Wed Oct 9 17:31:54 CST 2024,3.400000
Wed Oct 9 17:31:54 CST 2024,0.800000
Wed Oct 9 17:31:54 CST 2024,0.200000
Wed Oct 9 17:31:54 CST 2024,0.700000
Wed Oct 9 17:31:54 CST 2024,0.500000
Wed Oct 9 17:31:54 CST 2024,0.500000
Wed Oct 9 17:31:54 CST 2024,0.600000
Wed Oct 9 17:31:54 CST 2024,0.600000
Wed Oct 9 17:31:55 CST 2024,0.500000
Wed Oct 9 17:31:55 CST 2024,1.200000
Wed Oct 9 17:31:55 CST 2024,1.300000
Wed Oct 9 17:31:55 CST 2024,1.900000
Wed Oct 9 17:31:55 CST 2024,2.800000
Wed Oct 9 17:31:55 CST 2024,3.400000
Wed Oct 9 17:31:55 CST 2024,4.200000
Wed Oct 9 17:31:55 CST 2024,4.800000
Wed Oct 9 17:31:55 CST 2024,7.600000
Wed Oct 9 17:31:55 CST 2024,8.600000
Wed Oct 9 17:31:56 CST 2024,9.300000
Wed Oct 9 17:31:56 CST 2024,10.900000
Wed Oct 9 17:31:56 CST 2024,11.600000
Wed Oct 9 17:31:56 CST 2024,12.300000
Wed Oct 9 17:31:56 CST 2024,13.000000
Wed Oct 9 17:31:56 CST 2024,13.600000
Wed Oct 9 17:31:56 CST 2024,13.900000
Wed Oct 9 17:31:56 CST 2024,14.300000
Wed Oct 9 17:31:56 CST 2024,14.800000
Wed Oct 9 17:31:56 CST 2024,15.300000
Wed Oct 9 17:31:57 CST 2024,15.700000
Wed Oct 9 17:31:57 CST 2024,16.200000
Wed Oct 9 17:31:57 CST 2024,17.300000
Wed Oct 9 17:31:57 CST 2024,17.700000
Wed Oct 9 17:31:57 CST 2024,16.300000
Wed Oct 9 17:31:57 CST 2024,8.900000
